ii;yy
HAPLO.00287;2.5
HAPLO.00288;1.5
HAPLO.00289;1
HAPLO.00290;3
HAPLO.00291;1
HAPLO.00292;2.5
HAPLO.00293;2.5
HAPLO.00294;1
HAPLO.00295;1
HAPLO.00296;1.5
HAPLO.00297;1
HAPLO.00298;2
HAPLO.00299;1
HAPLO.00300;1.333333333
HAPLO.00301;2
HAPLO.00302;4.333333333
HAPLO.00303;1.5
HAPLO.00304;4
HAPLO.00305;2
HAPLO.00307;2
HAPLO.00308;2.5
HAPLO.00309;1
HAPLO.00311;4
HAPLO.00312;1.666666667
HAPLO.00313;3
HAPLO.00314;1.5
HAPLO.00315;1.5
HAPLO.00316;2.5
HAPLO.00317;1.5
HAPLO.00318;1
HAPLO.00319;1
HAPLO.00320;1
HAPLO.00321;1.5
HAPLO.00322;2.5
HAPLO.00323;1
HAPLO.00324;1
HAPLO.00325;1.5
HAPLO.00326;2
HAPLO.00327;1
HAPLO.00328;1
HAPLO.00329;1.5
HAPLO.00330;1
HAPLO.00331;1
HAPLO.00332;1
HAPLO.00333;1
HAPLO.00334;1
HAPLO.00335;1
HAPLO.00336;1
HAPLO.00337;1
HAPLO.00338;1
HAPLO.00339;2
HAPLO.00340;1
HAPLO.00341;1
HAPLO.00342;1
HAPLO.00343;1
HAPLO.00344;1
HAPLO.00345;1
HAPLO.00346;1
HAPLO.00347;1
HAPLO.00348;1
HAPLO.00349;1
HAPLO.00350;1
HAPLO.00351;1
HAPLO.00352;3.5
HAPLO.00353;1
HAPLO.00354;3
HAPLO.00355;1
HAPLO.00356;1.5
HAPLO.00357;1.666666667
HAPLO.00358;1.666666667
HAPLO.00359;1
HAPLO.00360;3.5
HAPLO.00361;1
HAPLO.00362;1
HAPLO.00364;4
HAPLO.00365;3.5
HAPLO.00366;2
HAPLO.00367;2
HAPLO.00368;1
HAPLO.00369;4.5
HAPLO.00370;4
HAPLO.00371;1.5
HAPLO.00372;1
HAPLO.00373;1
HAPLO.00374;3.5
HAPLO.00375;2
HAPLO.00376;2
HAPLO.00377;1
HAPLO.00378;1.333333333
