ii;yy
HAPLO.00277;1.5
HAPLO.00278;1
HAPLO.00279;2.5
HAPLO.00280;2.75
HAPLO.00281;2.75
HAPLO.00282;4
HAPLO.00283;2.5
HAPLO.00284;2.75
HAPLO.00285;2
HAPLO.00286;1
HAPLO.00287;1.5
HAPLO.00288;2
HAPLO.00289;1
HAPLO.00290;1
HAPLO.00291;1
HAPLO.00292;1.5
HAPLO.00293;1.5
HAPLO.00294;1.5
HAPLO.00295;3
HAPLO.00296;1.5
HAPLO.00297;2.25
HAPLO.00298;2.75
HAPLO.00299;1
HAPLO.00300;3
HAPLO.00301;3.25
HAPLO.00302;5
HAPLO.00303;4.75
HAPLO.00304;1.5
HAPLO.00305;3
HAPLO.00307;3.5
HAPLO.00308;3.25
HAPLO.00309;1.75
HAPLO.00311;1
HAPLO.00312;1.5
HAPLO.00313;2
HAPLO.00314;1.5
HAPLO.00315;4
HAPLO.00316;1.5
HAPLO.00317;1
HAPLO.00318;2.5
HAPLO.00319;1
HAPLO.00320;1
HAPLO.00321;1.5
HAPLO.00322;1.5
HAPLO.00323;3.5
HAPLO.00324;1.5
HAPLO.00325;2
HAPLO.00326;5.5
HAPLO.00327;3.75
HAPLO.00328;2
HAPLO.00329;3.75
HAPLO.00330;2.5
HAPLO.00331;4.25
HAPLO.00332;1.5
HAPLO.00333;1
HAPLO.00334;2
HAPLO.00335;2.5
HAPLO.00336;2.5
HAPLO.00337;5
HAPLO.00338;3.75
HAPLO.00339;2.5
HAPLO.00340;3.75
HAPLO.00341;3.5
HAPLO.00342;3.5
HAPLO.00343;4.5
HAPLO.00344;3.75
HAPLO.00345;3.25
HAPLO.00346;3.75
HAPLO.00347;4.5
HAPLO.00348;4.5
HAPLO.00349;4.25
HAPLO.00350;4.5
HAPLO.00351;1.5
HAPLO.00352;1.75
HAPLO.00353;1.5
HAPLO.00354;1.5
HAPLO.00355;3.75
HAPLO.00356;6
HAPLO.00357;7.5
HAPLO.00358;6.5
HAPLO.00359;5.25
HAPLO.00360;1.5
HAPLO.00361;5
HAPLO.00362;5
HAPLO.00364;5
HAPLO.00365;2
HAPLO.00366;4
HAPLO.00367;2
HAPLO.00368;4
HAPLO.00369;2.5
HAPLO.00370;1.5
HAPLO.00371;3.25
HAPLO.00372;3
HAPLO.00373;4.5
HAPLO.00374;5.75
HAPLO.00375;2.75
HAPLO.00376;4
HAPLO.00377;3.5
HAPLO.00378;4
