ii;yy
HAPLO.00279;3.5
HAPLO.00280;4.5
HAPLO.00281;5
HAPLO.00282;4
HAPLO.00283;5
HAPLO.00284;5
HAPLO.00285;5.5
HAPLO.00286;5
HAPLO.00287;5.5
HAPLO.00288;4
HAPLO.00289;4.5
HAPLO.00290;5.5
HAPLO.00291;5
HAPLO.00292;3.5
HAPLO.00293;4
HAPLO.00294;5
HAPLO.00295;5.5
HAPLO.00296;5.5
HAPLO.00297;4.5
HAPLO.00298;5
HAPLO.00299;4.5
HAPLO.00300;4
HAPLO.00301;5
HAPLO.00302;5.5
HAPLO.00303;4
HAPLO.00304;4.5
HAPLO.00305;4.5
HAPLO.00307;6.5
HAPLO.00308;5.5
HAPLO.00309;5
HAPLO.00311;5.5
HAPLO.00312;5.5
HAPLO.00313;6
HAPLO.00314;6.5
HAPLO.00315;6.5
HAPLO.00316;6
HAPLO.00317;5
HAPLO.00318;4.5
HAPLO.00319;6.5
HAPLO.00320;3.5
HAPLO.00321;4
HAPLO.00322;4.5
HAPLO.00323;4.5
HAPLO.00324;6.5
HAPLO.00325;5.5
HAPLO.00326;5
HAPLO.00327;5.5
HAPLO.00328;5.5
HAPLO.00329;4.5
HAPLO.00330;6.5
HAPLO.00331;4.5
HAPLO.00332;6.5
HAPLO.00333;5.5
HAPLO.00334;5.5
HAPLO.00335;6
HAPLO.00336;6
HAPLO.00337;5
HAPLO.00338;5.5
HAPLO.00339;5.5
HAPLO.00340;5
HAPLO.00341;6.5
HAPLO.00342;6
HAPLO.00343;5
HAPLO.00344;5
HAPLO.00345;5
HAPLO.00346;4
HAPLO.00347;4.5
HAPLO.00348;6.5
HAPLO.00349;5
HAPLO.00350;5
HAPLO.00351;5
HAPLO.00352;4.5
HAPLO.00353;6.5
HAPLO.00354;6
HAPLO.00355;7
HAPLO.00356;7
HAPLO.00357;5.5
HAPLO.00358;6
HAPLO.00359;5
HAPLO.00360;5.5
HAPLO.00361;4.5
HAPLO.00362;7
HAPLO.00364;5.5
HAPLO.00365;7
HAPLO.00366;4.5
HAPLO.00367;5.5
HAPLO.00368;4.5
HAPLO.00369;6
HAPLO.00370;5.5
HAPLO.00371;5.5
HAPLO.00372;4.5
HAPLO.00373;6
HAPLO.00374;4.5
HAPLO.00375;6.5
HAPLO.00376;5
HAPLO.00377;5.5
HAPLO.00378;5
